Company Name,Country,email,website link,contact,coverage type,services rendered,target customers,address
DOT HMO Ltd.,Nigeria,support@dot.ai,https://www.dothmo.com.ng,07000368466 (calls) 08170369507 (WhatsApp 0nly),"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","8, Prudential Workspace, Lekki Phase 1, Lagos"
FOUNTAIN HEALTHCARE LIMITED,Nigeria,info@fountainhealthcareng.com,https://www.fountainhealthcare.com.ng,"0700F0UNTAIN, 08077705100, 08077705200","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","3, Oladosu Street, Off Toyin Street, Ikeja, Lagos"
GNI HEALTHCARE LTD,Nigeria,gnihealthcare@greatnigeriaplc.com,https://www.gnihealthcare.com.ng,"08057752870, 08163290105 07043051516, 07046251142","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Great Nigeria House, 47/57, Martins Street, Lagos Island, Lagos"
GORAH HEALTHCARE LTD.,Nigeria,info@gorahhmo.com,https://www.gorahhealthcare.com.ng,"08132783427, 07031870956","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","No. 10, Lafia Road, Kaduna"
GREENBAY HEALTHCARE SERVICES LIMITED,Nigeria,info@greenbayhmo.com,https://www.greenbayhealthcareservices.com.ng,070047336229,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Low-Cost Community Health Management, Retail Micro-Insurance Plans, Basic Clinical Care Access","Local Retail Consumers, Informal Sector Groups, Small Scale Artisans, and Micro-SMEs","Plot 11, Commercial Zone, CBD, Alausa, Ikeja, Lagos"
GREENFIELD HEALTH MANAGEMENT LTD,Nigeria,info@greenfieldhmo.com,https://www.greenfieldhealthmanagement.com.ng,"09091910003, 09091909993","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Plot 914, South-Preston Block, Wuse 2, Abuja"
GROOMING HEALTH MANAGEMENT LIMITED,Nigeria,info@groominghm.com,https://www.groominghealthmanagement.com.ng,"07080631850, 09087966270","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","18, Grooming Center Boulevard, Ejigbo, Lagos"
HALLMARK HEALTH SERVICES LIMITED,Nigeria,info@hallmarkhmo.com,https://www.hallmarkhealthservices.com.ng,"08170920155, 09087792936, 08090918940","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","12, Bishop Kale Close, Victoria Island, Lagos"
HEALTH ASSUR LIMITED,Nigeria,info@healthassur.com,https://www.healthassur.com.ng,"01-3422321, 08026547348, 0700 HEALTH ASSUR (07004325427787)","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Plot 16, Block 112, Katampe Extension, Abuja"
Health Partners Limited,Nigeria,hmo@healthpartnersng.org,https://www.healthpartners.com.ng,"08077140844, 08077140855, 08077140688","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Plot 3, Commercial Avenue, Yaba, Lagos"
HEALTHCARE INTERNATIONAL LIMITED,Nigeria,info@healthcare-ng.com,https://www.healthcareinternational.com.ng,"08052099069 (Abuja) 08052099099 (Lagos) 014489820, 08052099094","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","17, Sanusi Fafunwa Street, Victoria Island, Lagos"
HEALTHSPRING HMO,Nigeria,info@healthspringhmo.com,https://www.healthspringhmo.com.ng,"07047000591, 07047000590","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","No. 4, Gidado Street, Off Ibrahim Taiwo Road, Ilorin, Kwara"
HYGEIA HMO LIMITED,Nigeria,hycare@hygeiahmo.com,https://hygeiahmo.com,"070049434266, 014488300","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","100, Murtala Muhammed International Airport Road, Ikeja, Lagos"
Infinite X2 Health Maintenance Services,Nigeria,Infinitex2health@gmail.com,https://www.infinitex2healthmaintenanceservices.com.ng,07066026262,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Low-Cost Community Health Management, Retail Micro-Insurance Plans, Basic Clinical Care Access","Local Retail Consumers, Informal Sector Groups, Small Scale Artisans, and Micro-SMEs","Corporate Registry Office, CBD, Lagos, Nigeria"
INTEGRATED HEALTHCARE,Nigeria,info@integratedhealthcareltd.com,https://www.integratedhealthcare.com.ng,"08051322662, 08146120236, 08097236759, 09020008294 SMS (and WhatsApp only: 08063206121) Lagos: 08159391310 Awka: 08159391321 Uyo: 08159391334 Kano: 08159391333: Yola: 08159391308 Jos: 08159391311 Ibadan: 08159391324 Minna: 08159391306","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
INTERNATIONAL HEALTH MGT. SERVICES,Nigeria,info@ihmsnigeria.com,https://www.internationalhealthmgt.services.com.ng,"08085861299, 07041446622, 07004467466","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
IVES MEDICARE,Nigeria,info@ivesmedicare.com,https://www.ivesmedicare.com.ng,"08032639058, 09085187582, 08092165592","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
KENNEDIA HMO LIMITED,Nigeria,info@kennediahmo.com,https://www.kennediahmo.com.ng,"070030306060, 017002018, 09120351385","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
LEADWAY HEALTH LIMITED,Nigeria,healthcare@leadway.com,https://www.leadwayhealth.com.ng,"012801051, 08139862271","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
LIFE WORTH MEDICARE LTD,Nigeria,info@lifeworthhmo.com,https://www.lifeworthmedicare.com.ng,08091111760,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
LIFESAVER HEALTHCARE LIMITED,Nigeria,mb@lifesaverhealthcarehmo.com,https://www.lifesaverhealthcare.com.ng,09123973551,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
MAAYOIT HEALTH CARE LIMITED,Nigeria,info@mayooithealth.org,https://www.maayoithealthcare.com.ng,"08058026841, 08174627100","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
MARINA MEDICAL SERVICES HMO LIMITED,Nigeria,info@marinamedicalhmo.ng,https://www.marinamedicalserviceshmo.com.ng,"08144814021, 08182318170,08022598259","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
MARKFEMA NIGERIA LTD.,Nigeria,info@markfema.com,https://www.markfemanigeria.com.ng,"08077456035, 08034935832","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
MASSLIFE HEALTHCARE LIMITED,Nigeria,info@masslifehealthcare.com,https://www.masslifehealthcare.com.ng,"234(0)92918962, 234(0)9039887632","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
MB & O HEALTHCARE SERVICES LIMITED,Nigeria,info@mbandohmo.com,https://www.mb&ohealthcareservices.com.ng,08139952126,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
MEDEXIA LIMITED,Nigeria,okuribido@medexia.com,https://www.medexia.com.ng,"08134224609, 09051991430, 014537588","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
MEDICARE ALLIANCE LIMITED,Nigeria,domahealthcare@gmail.com,https://www.medicarealliance.com.ng,07065645662 08063545370,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Low-Cost Community Health Management, Retail Micro-Insurance Plans, Basic Clinical Care Access","Local Retail Consumers, Informal Sector Groups, Small Scale Artisans, and Micro-SMEs","Corporate Registry Office, CBD, Lagos, Nigeria"
MEDIPLAN HEALTHCARE LIMITED,Nigeria,mediplan@mediplanhealthcare.com,https://www.mediplanhealthcare.com.ng,"08159093838, 07084068760, 01-4485390, 07066401413, 09036058822","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
METROHEALTH HMO LIMITED,Nigeria,info@metrohealthhmo.com,https://www.metrohealthhmo.com.ng,"08090235478, 01-6310038","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
NEM HEALTH LIMITED,Nigeria,info@nem-health.com,https://www.nemhealth.com.ng,020-13300150,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
NNPC-HMO LIMITED,Nigeria,nnpchmo@nnpcgroup.com,https://www.nnpc-hmo.com.ng,"08022200180 08097777689 08058866690 08036950614 09-460-85500, 0803-695-0614, 0809-777-7689","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
NONSUCH MEDICARE LIMITED,Nigeria,nonsuchmedicare@gmail.com,https://www.nonsuchmedicare.com.ng,"08078392043, 08078391607, 08097541194","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Low-Cost Community Health Management, Retail Micro-Insurance Plans, Basic Clinical Care Access","Local Retail Consumers, Informal Sector Groups, Small Scale Artisans, and Micro-SMEs","Corporate Registry Office, CBD, Lagos, Nigeria"
NOOR HEALTH LTD.,Nigeria,info@noorhealth.ng,https://www.noorhealth.com.ng,09048485050,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
NOVO HEALTH AFRICA LIMITED,Nigeria,info@novohealthafrica.org,https://www.novohealthafrica.com.ng,"09092139552, 07037602736, 09082914217","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
OCEANIC HEALTH MANAGEMENT LIMITED,Nigeria,hmo@oceanichealthng.com,https://www.oceanichealthmanagement.com.ng,"016330300, 012806399,08085897999","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
PERAMARE HEALTH MANAGEMENT COMPANY LIMITED,Nigeria,hmo@peramare.ng,https://www.peramarehealthmanagementcompany.com.ng,09128007005,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Low-Cost Community Health Management, Retail Micro-Insurance Plans, Basic Clinical Care Access","Local Retail Consumers, Informal Sector Groups, Small Scale Artisans, and Micro-SMEs","Corporate Registry Office, CBD, Lagos, Nigeria"
PHILLIPS HEALTH MANAGEMENT SERVICES LIMITED,Nigeria,info@philipshmo.net,https://www.phillipshealthmanagementservices.com.ng,016339122-3,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Low-Cost Community Health Management, Retail Micro-Insurance Plans, Basic Clinical Care Access","Local Retail Consumers, Informal Sector Groups, Small Scale Artisans, and Micro-SMEs","Corporate Registry Office, CBD, Lagos, Nigeria"
POLICE HEALTH MAINTENANCE LIMITED,Nigeria,info@phlnigeria.com,https://www.policehealthmaintenance.com.ng,"08132529114, 08174210057, 090552293969","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
PRECIOUS HEALTHCARE LIMITED,Nigeria,info@precioushmo.com,https://www.precioushealthcare.com.ng,08067456841,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
PREPAID MEDICARE SERVICES LTD.,Nigeria,hr@prepaidmedicareng.com,https://www.prepaidmedicareservices.com.ng,"08085927262, 08091116207, 08035777338, 08076688032","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
PRINCETON HEALTH,Nigeria,info@princetonhmo.net,https://www.princetonhealth.com.ng,"08151205555, 081859555555, 09060005654, 09060005674, 07064489783","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
PROHEALTH HMO LTD,Nigeria,info@prohealthhmo.com,https://www.prohealthhmo.com.ng,070776432584,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
REDCARE HEALTH SERVICES LIMITED,Nigeria,info@redcarehmo.com,https://www.redcarehealthservices.com.ng,"012772020, 07700REDCARE","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
REGENIX HEALTH CARE SERVICE LIMITED,Nigeria,info@regenixhealthcare.com,https://www.regenixhealthcareservice.com.ng,"08148220185, 08029377719","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
RELIANCE HMO LIMITED,Nigeria,hello@reliancehmo.com,https://www.reliancehmo.com.ng,"070073542623, 017001580","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
RODING HEALTHCARE LTD.,Nigeria,rodinghealthcare@gmail.com,https://www.rodinghealthcare.com.ng,070 CALL R0DING (07002255763464),"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Low-Cost Community Health Management, Retail Micro-Insurance Plans, Basic Clinical Care Access","Local Retail Consumers, Informal Sector Groups, Small Scale Artisans, and Micro-SMEs","Corporate Registry Office, CBD, Lagos, Nigeria"
RONSBERGER NIGERIA LTD.,Nigeria,info@ronsbergerhmo.org,https://www.ronsbergernigeria.com.ng,"08021811800 , 092902975, 08103247680, 092903430","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
ROTHAUGE HEALTHCARE LIMITED,Nigeria,info@rothaugehealth.com,https://www.rothaugehealthcare.com.ng,"07060910825, 09080000134, 08159996670","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
ROYAL HEALTH MAINTENANCE SERVICES LTD.,Nigeria,royalhealthmaintenanceservices@yahoo.com,https://www.royalhealthmaintenanceservices.com.ng,08037956689,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Low-Cost Community Health Management, Retail Micro-Insurance Plans, Basic Clinical Care Access","Local Retail Consumers, Informal Sector Groups, Small Scale Artisans, and Micro-SMEs","Corporate Registry Office, CBD, Lagos, Nigeria"
SALUS TRUST GTE,Nigeria,salustrustgte@yahoo.com,https://www.salustrustgte.com.ng,"08052272587, 01-3428992","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
SERAPH HMO LIMITED,Nigeria,seraphnigltd@yahoo.com,https://www.seraphhmo.com.ng,08061136674,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
SKYDA HEALTH LIMITED,Nigeria,skydahealthng@gmail.com,https://www.skydahealth.com.ng,08037013715,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Low-Cost Community Health Management, Retail Micro-Insurance Plans, Basic Clinical Care Access","Local Retail Consumers, Informal Sector Groups, Small Scale Artisans, and Micro-SMEs","Corporate Registry Office, CBD, Lagos, Nigeria"
SONGHAI HEALTH TRUST,Nigeria,info@songhaihealthtrust.com,https://www.songhaihealthtrust.com.ng,07000303030,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
SPRINGTIDE HEALTHCARE SERVICES LTD.,Nigeria,info@sprintidehmo.com,https://www.springtidehealthcareservices.com.ng,08183099999,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
