Funding Name,Description,Type,Eligibility,Deadline,States/Country/Region Covered,Funding Amount,Website,Category,Status
UNDP–Generali Insurance Innovation Challenge – Thailand,"Insurance Innovation Challenge focused on developing resilience-oriented insurance solutions for micro, small and medium enterprises.",Grant / Challenge,Eligible insurance-sector and innovation partners developing insurance solutions for MSMEs.,30 September 2025,Thailand,Not stated,https://www.undp.org/sites/g/files/zskgke326/files/2025-08/114625199_annex-2-undp_generali-terms-of-reference-iicf-call-for-proposal.pdf,Insurance,Closed
UNDP Insurance Innovation Challenge – Pakistan,Insurance innovation programme supporting context-relevant insurance products and solutions for vulnerable populations.,Prize / Challenge,Eligible organisations developing inclusive insurance solutions in Pakistan.,27 December 2025,Pakistan,"Up to US$40,000",https://www.undp.org/pakistan/press-releases/kashf-foundation-wins-undp-pakistans-insurance-innovation-challenge,Insurance,Closed / Awarded
UNDP Insurance Innovation Challenge – Tanzania,"Challenge supporting innovative insurance solutions for underserved populations and livelihoods, including climate and agricultural risks.",Grant / Prize,Eligible innovators and insurance-sector organisations developing inclusive insurance solutions in Tanzania.,15 April 2025,Tanzania,Not stated,https://www.undp.org/tanzania,Insurance,Closed
UNDP Insurance Innovation Challenge – Senegal,"Insurance innovation programme supporting agricultural and climate-risk insurance solutions, including parametric insurance.",Challenge / Funding,Eligible insurance-sector innovators and organisations.,Not publicly stated,Senegal,Not stated,https://sdgfinance.undp.org/sites/default/files/2026-03/Global-Insurance-Innovators-Community-Parametric-Insurance-for-Climate-Action.pdf.pdf,Insurance,Closed / Implemented
UNDP Insurance Innovation Programme – Viet Nam,Insurance innovation programme supporting digital and parametric insurance solutions for vulnerable agricultural communities.,Challenge / Funding,Eligible insurance-sector innovators and organisations.,Not publicly stated,Viet Nam,Not stated,https://sdgfinance.undp.org/sites/default/files/2026-03/Global-Insurance-Innovators-Community-Parametric-Insurance-for-Climate-Action.pdf.pdf,Insurance,Closed / Implemented
UNDP Insurance Innovation Programme – Nepal,"Insurance innovation programme developing insurance solutions for vulnerable communities, including technology-enabled livestock protection.",Challenge / Funding,Eligible insurance-sector partners and innovators.,Not publicly stated,Nepal,Not stated,https://www.undp.org/stories/insuring-future,Insurance,Ongoing
UNDP Insurance Innovation Programme – Argentina,"Insurance innovation work developing protection solutions for vulnerable ecosystems and communities, including innovative biodiversity insurance.",Challenge / Funding,Programme partners and eligible insurance-sector organisations.,Not publicly stated,Argentina,Not stated,https://www.undp.org/stories/insuring-future,Insurance,Ongoing
African Development Bank – ACAPS Insurance Innovation Support,Funding supporting innovation and financial inclusion in Morocco's insurance sector and strengthening insurance-sector supervision.,Grant,ACAPS / eligible institutional implementation partners.,Not applicable – awarded April 2026,Morocco,"US$510,000",https://www.afdb.org/en/news-and-events/press-releases/morocco-african-development-bank-group-approves-510000-support-insurance-and-social-welfare-supervisory-authority-benefit-vulnerable-populations-92718,Insurance,Awarded
Ghana Sub-Sovereign Parametric Flood Risk Insurance,Insurance opportunity involving a $10 million parametric flood-risk cover for the Greater Accra Metropolitan Area.,Insurance Contract / Procurement,Licensed insurance companies in Ghana and eligible global insurers and reinsurers.,"27 January 2026, 4:00 PM","Greater Accra, Ghana",$10 million insurance cover,https://www.undp.org/ghana/press-releases/request-expressions-interest,Insurance,EOI / Procurement
"Flood Risk Cover for Lagos State, Nigeria",InsuResilience Solutions Fund premium-financing support for parametric flood insurance protection for Lagos State.,Insurance / Premium Support Grant,Project implemented with Lagos State and eligible insurance and risk-financing partners.,Not an application call – project ongoing through January 2028,"Lagos State, Nigeria",Grant-based premium financing; amount not publicly stated,https://insuresilience-solutions-fund.org/our-work/premium-financing-support/,Insurance,Ongoing
Scaling Up Agricultural Insurance for Smallholder Farmers in Togo,ISF-supported project to scale agricultural insurance protecting smallholder farmers against drought and excess rainfall.,Insurance / Grant,"Implemented through eligible insurance, agricultural and development partners.",Not an application call – project runs May 2025 to June 2027,Togo,"€999,816",https://insuresilience-solutions-fund.org/our-work/premium-financing-support/,Insurance,Ongoing
Index Insurance in Uganda – Scaling Agricultural Insurance,ISF-funded initiative supporting the development and expansion of index-based agricultural insurance for vulnerable smallholder farmers.,Insurance / Grant,"Eligible insurance, agricultural and implementation partners.",Not an application call – project runs November 2024 to November 2027,Uganda,Grant amount not publicly stated,https://insuresilience-solutions-fund.org/our-work/premium-financing-support/,Insurance,Ongoing
Scaling Up Embedded Area Yield Index Insurance in Ethiopia,ISF-supported agricultural insurance project expanding climate-risk protection for farmers through an embedded area-yield index insurance product.,Insurance / Grant,"Eligible agricultural, insurance and implementation partners.",Not an application call – project runs July 2025 to July 2027,Ethiopia,"€1,308,765",https://insuresilience-solutions-fund.org/wp-content/uploads/2025/06/C9.06-Ethiopia-Project-Brief.pdf,Insurance,Ongoing
Crop Insurance Programme for Smallholder Farmers in Kenya,ISF grant-supported programme developing and scaling insurance protection for Kenyan smallholder farmers exposed to climate and drought risks.,Insurance / Grant,"Implemented through eligible insurance, agricultural and development partners.",Not an application call – grant-funded project,Kenya,Grant amount not publicly stated,https://insuresilience-solutions-fund.org/2021/06/28/crop-insurance-program-for-smallholder-farmers-in-kenya/,Insurance,Implemented / Funded
Financial Protection Against Drought and Flood in Senegal,ISF-supported project developing and implementing risk-transfer insurance solutions for vulnerable populations exposed to drought and flood.,Insurance / Grant,"Eligible insurance, government and implementation partners.",Not an application call – grant agreement project,Senegal,Grant amount not publicly stated,https://insuresilience-solutions-fund.org/2023/12/08/scaling-up-financial-protection-against-disasters-for-vulnerable-populations-in-senegal/,Insurance,Implemented / Funded
Inclusive Insurance Innovation Challenge Nigeria,"Challenge supporting innovative insurance solutions for financially underserved populations in Nigeria, including climate risk, health insurance and MSME resilience.",Innovation Challenge / Grant,"Innovators, startups, insurtechs, fintechs, insurance companies and community-based organisations registered in Nigeria and meeting the stated requirements.",27 October 2025,Nigeria,₦30 million per winning proposal,https://www.undp.org/nigeria/news/inclusive-insurance-innovation-challenge-nigeria,Insurance Innovation,Closed
Insurance Innovation Challenge Fund,UNDP and ICMIF Foundation fund supporting innovative mutual and cooperative insurance initiatives that improve financial resilience and expand affordable insurance for vulnerable populations in developing countries.,Innovation Challenge Fund,Mutual and cooperative insurers and eligible organisations developing or scaling inclusive insurance solutions in developing countries.,Previous application round closed,Developing countries,"Fund initially launched with US$600,000",https://icmiffoundation.org/insurance-innovation-challenge/,Insurance Innovation,Closed
Insurance Innovation Challenge – Bangladesh,"UNDP and Bangladesh SME Foundation initiative supporting innovative, inclusive insurance solutions designed to improve resilience among cottage, micro and small enterprises exposed to climate and other risks.",Innovation Challenge,"Eligible innovators and organisations developing regulator-approved inclusive insurance solutions for cottage, micro and small enterprises in Bangladesh.",Not stated,Bangladesh,Not stated,https://www.undp.org/bangladesh/press-releases/insurance-innovation-challenge-launched-small-businesses,Insurance Innovation,Active / Programme launched 2026
Development of a Natural Disaster Risk Insurance Scheme for Nagaland,ISF grant-funded project supporting development of a natural disaster risk insurance scheme for Nagaland's State Disaster Response Mitigation Fund.,Insurance Grant,Project implemented through Nagaland State Disaster Management Authority and insurance-sector partners; not an open individual application call.,Grant agreement signed 18 March 2021; not an open application deadline,"Nagaland, India",Grant amount not publicly stated,https://insuresilience-solutions-fund.org/2021/03/18/development-of-a-natural-disaster-risk-insurance-scheme-for-nagaland/,Insurance,Implemented / Funded
Flood Risk Cover for Lagos State in Nigeria,ISF grant-funded project supporting development and implementation of a sub-sovereign index-based flood insurance solution for vulnerable populations in Lagos State.,Insurance Grant,Implemented through Lagos State Government and insurance and risk-finance partners; not an open application call.,Grant agreement signed 10 November 2022; not an open application deadline,"Lagos State, Nigeria","EUR 782,895 grant",https://insuresilience-solutions-fund.org/2022/11/10/flood-risk-cover-for-lagos-state-in-nigeria/,Insurance,Implemented / Funded
Integrated Financial and Technical Services for Agriculture in Burkina Faso,ISF grant-funded project supporting parametric drought and excess-rainfall insurance for smallholder farmers in Burkina Faso.,Insurance Grant,"Implemented through Yelen Assurance, RCPB and Cordaid; not an open individual application call.",Grant agreement signed 23 May 2024; not an open application deadline,Burkina Faso,Grant amount not publicly stated,https://insuresilience-solutions-fund.org/2024/05/23/integrated-financial-and-technical-services-for-agriculture-in-burkina-faso/,Insurance,Implemented / Funded
Enhancing Resilience of Smallholder Farmers in Southern Malawi through a Risk Layering Approach,"ISF grant-funded project supporting development of climate-risk insurance solutions for smallholder farmers exposed to droughts, floods and cyclones.",Insurance Grant,Implemented through Opportunity International Malawi and insurance-sector partners; not an open application call.,Grant agreement signed 10 October 2024; not an open application deadline,Southern Malawi,Grant amount not publicly stated,https://insuresilience-solutions-fund.org/2024/10/10/enhancing-resilience-of-smallholder-farmers-in-southern-malawi-through-a-risk-layering-approach-for-managing-climate-related-risks/,Insurance,Implemented / Funded
Securing Livestock Livelihoods in Kyrgyzstan through Forecast Index Insurance,ISF grant-funded project supporting development and implementation of a forecast-based livestock insurance solution for vulnerable rural households.,Insurance Grant,"Implemented through Blue Marble Microinsurance, local insurers and agricultural partners; not an open application call.",Grant agreement announced 17 December 2024; not an open application deadline,Kyrgyzstan,Grant amount not publicly stated,https://insuresilience-solutions-fund.org/2024/12/17/securing-livestock-livelihoods-in-kyrgyzstan-leveraging-meso-level-forecast-index-insurance-solutions/,Insurance,Implemented / Funded
Rice Value Chain Climate Cover in Côte d'Ivoire,ISF grant-funded project supporting drought and excess-rainfall insurance for vulnerable rice producers through a hybrid weather and area-yield insurance solution.,Insurance Grant,"Implemented through ARC Ltd, FUSCOP and technical partners; not an open application call.",Grant agreement signed 11 June 2024; not an open application deadline,Côte d'Ivoire,Grant amount not publicly stated,https://insuresilience-solutions-fund.org/2024/06/11/rice-value-chain-climate-cover-in-cote-divoire/,Insurance,Implemented / Funded
Flood Protection for Vulnerable Areas in Togo,ISF grant-funded project supporting an index-based flood insurance solution for vulnerable populations in Lomé and Kpalimé.,Insurance Grant,"Implemented through AXA Climate, PADIE and reinsurance partners; not an open application call.",Grant agreement signed 4 March 2024; not an open application deadline,Togo,Grant amount not publicly stated,https://insuresilience-solutions-fund.org/2024/03/04/flood-protection-for-vulnerable-areas-in-togo/,Insurance,Implemented / Funded
Building Climate-Resilient Agro-Ecosystems of Smallholder Farming,ISF grant-funded project supporting the expansion and improvement of crop and livestock insurance solutions for vulnerable smallholder farmers.,Insurance Grant,"Implemented through DHAN Foundation, People Mutuals, IBISA and project partners; not an open application call.",Grant agreement announced 15 June 2022; not an open application deadline,India,Grant amount not publicly stated,https://insuresilience-solutions-fund.org/2022/06/15/building-climate-resilient-agro-ecosystems-of-smallholder-farming/,Insurance,Implemented / Funded
Increased Resilience Against Drought and Extreme Rainfall for Smallholder Farmers in Uganda,ISF grant-funded project supporting improvement and development of agricultural insurance products for Ugandan smallholder farmers.,Insurance Grant,"Implemented through Sanlam, AgroConsortium, eLEAF and other insurance-sector partners; not an open application call.",Grant agreement announced 20 September 2021; not an open application deadline,Uganda,Grant amount not publicly stated,https://insuresilience-solutions-fund.org/2021/09/20/increased-resilience-against-drought-and-extreme-rainfall-for-smallholder-farmers-in-uganda/,Insurance,Implemented / Funded
Scaling Up and Improving National Agriculture Insurance Scheme in Rwanda,ISF grant-funded project supporting improvement and expansion of livestock and crop insurance products for Rwanda's smallholder farmers.,Insurance Grant,Implemented through Rwanda's agriculture insurance ecosystem and project partners; not an open application call.,Grant agreement announced 1 March 2022; not an open application deadline,Rwanda,Grant amount not publicly stated,https://insuresilience-solutions-fund.org/2022/03/01/scaling-up-and-improving-national-agriculture-insurance-scheme-in-rwanda/,Insurance,Implemented / Funded
MAR Insurance Programme Premium Financing Endowment,ISF grant-based premium financing support for climate-risk insurance designed to improve affordability and resilience in the Mesoamerican Reef region.,Insurance Grant,ISF-supported project partners implementing climate-risk insurance solutions; not an open individual application call.,Project brief published 3 December 2024; not an open application deadline,Mesoamerican Reef Region,Grant amount not publicly stated,https://insuresilience-solutions-fund.org/2024/12/03/project-brief-p1-08-c3-25-mar-fund/,Insurance,Implemented / Funded
Caribbean Regional Reef Insurance Programme,ISF grant-funded project supporting development and implementation of a regional reef insurance programme to finance post-hurricane response and strengthen climate resilience.,Insurance Grant,Implemented through Caribbean environmental funds and insurance/reinsurance partners; not an open application call.,Grant project period September 2025–October 2027; not an open application deadline,Caribbean,"EUR 720,395 grant",https://insuresilience-solutions-fund.org/wp-content/uploads/2025/11/C10.16-Caribbean-Project-Brief.pdf,Insurance,Ongoing / Funded
Great Health for America,CDC cooperative agreement supporting national organizations working to improve chronic disease prevention and public health outcomes in the United States.,Cooperative Agreement,Eligible U.S. organizations meeting the requirements in the CDC funding opportunity announcement.,3 August 2026,United States,$32 million total; 4 expected awards,https://www.grants.gov/search-results-detail/363051,Health,Closed
Center for Indigenous Innovation and Health,"Funding supporting research, education, service, partnerships and technical assistance addressing chronic disease and health care access gaps affecting Indigenous populations.",Cooperative Agreement,Eligible nonprofit private institutions of higher education meeting the program requirements.,15 July 2026,United States,"$2 million total; $500,000–$1 million per award",https://www.grants.gov/search-results-detail/362800,Health,Closed
Fiscal Year 2027 Expanding Nutrition Services,HRSA funding designed to increase access to nutrition services at HRSA-funded health centers and increase the number of patients receiving nutrition services.,Grant,Health Center Program award recipients with an active H80 award. Individuals are not eligible.,9 September 2026,United States,"$125 million total; $350,000 award amount; 357 expected awards",https://www.grants.gov/search-results-detail/362823,Health,Open
Global Infectious Disease Research Training Program,NIH Fogarty international research-training funding supporting collaborative programs that strengthen infectious disease research capacity in low- and middle-income countries.,Research Training Grant,Eligible U.S. institutions collaborating with researchers or institutions in eligible low- and middle-income countries; eligible foreign institutions may also apply under program requirements.,6 August 2026,Low- and middle-income countries / International,Not publicly stated,https://www.fic.nih.gov/Programs/Pages/infectious-disease.aspx,Health,Closed
NIH Director's Pioneer Award (DP1 Clinical Trial Optional),NIH Common Fund award supporting exceptionally creative investigators pursuing highly innovative research with potential for major impact across biomedical and behavioral science.,Research Grant,Eligible investigators and institutions meeting the NIH Director's Pioneer Award requirements.,10 September 2026,United States,Varies by award,https://www.grants.nih.gov/funding/explore-nih-opportunities,Health,Upcoming
NIH Director's Transformative Research Award (R01 Clinical Trial Optional),NIH Common Fund funding supporting transformative research projects that have the potential to create or overturn major paradigms in biomedical or behavioral research.,Research Grant,Eligible investigators and institutions meeting NIH Director's Transformative Research Award requirements.,4 September 2026,United States,Varies by award,https://www.grants.nih.gov/funding/explore-nih-opportunities,Health,Upcoming
NIH Director's Early Independence Award (DP5 Clinical Trial Optional),NIH funding supporting recent doctoral degree recipients who seek to transition directly to independent research without a traditional postdoctoral training period.,Research Grant,Eligible early-career researchers and U.S. domestic institutions meeting NIH Early Independence Award requirements.,11 September 2026,United States,Varies by award,https://grants.nih.gov/funding/activity-codes/DP5,Health,Upcoming
Atopic Dermatitis Research Network (ADRN U19 Clinical Trial Optional),NIH research funding supporting collaborative research into atopic dermatitis and related scientific and clinical questions.,Research Grant,Eligible research institutions and investigators meeting the NIH funding opportunity requirements.,25 September 2026,United States,Varies by award,https://www.grants.nih.gov/funding/explore-nih-opportunities,Health,Upcoming
Nutrition Obesity Research Centers (NORCs P30 Clinical Trial Optional),"NIH funding supporting research centers focused on nutrition, obesity and related health research.",Research Center Grant,Eligible U.S. research institutions and investigators meeting the applicable NIH funding opportunity requirements.,21 October 2026,United States,Varies by award,https://www.grants.nih.gov/funding/explore-nih-opportunities,Health,Upcoming
Emerging Global Leader Award (K43 Independent Clinical Trial Required),Fogarty International Center career-development funding supporting emerging global health research leaders in low- and middle-income countries.,Career Development Grant,Eligible early-career investigators and institutions meeting Fogarty and NIH requirements for the K43 program.,3 December 2026,Low- and middle-income countries / International,Varies by award,https://www.fic.nih.gov/Funding/Pages/Fogarty-Funding-Opps.aspx,Health,Upcoming
